"";"VisNorms ";"VisLIWC ";"VisIntens ";"VisColor ";"VisSize ";"VisMotion ";"VisFace ";"VisBody ";"GustNorms ";"GustTaste ";"AudNorms ";"AudLIWC ";"AudIntens ";"SomatNorms ";"SomatLIWC ";"SomatSurface ";"SomatProprioception ";"SomatTexture ";"SomatNociception ";"OlfacNorms ";"MotorBinder ";"MotorPractice ";"SpatialProx ";"SpatialUpDown ";"SpatialNumber ";"TemporalLIWC ";"TempDuration ";"TempAge ";"Causal ";"SocialSelf ";"SocialLIWC ";"SocialGender ";"CognitionAbstract ";"CognitionImage ";"CognitionLIWC ";"EmoSentiment ";"EmoBenefit ";"EmoPleasant ";"EmoHappy ";"EmoAngry ";"EmoDisgust ";"EmoFear ";"EmoSurprised ";"Drive ";"DriveNeeds ";"AttentionArousal ";"Cognitive_pauses ";"Long_pauses ";"Gender ";"Age ";"nteres ";"Joy ";"Astonishment ";"Sorrow ";"Anger ";"Disgust ";"Contempt ";"Fear ";"Shame ";"Guilt ";"PositiveIntegral ";"NegativeIntegral ";"AnxiousDepressive ";"Extraversion ";"Agreeableness ";"Contiousness ";"Neurotism ";"Openness "
"Shame";"-0.002   ";"-0.052   ";"-0.071   ";"-0.023   ";"-0.020   ";"-0.018   ";"-0.046   ";"-0.030   ";"-0.028   ";" 0.124***";"-0.074*  ";"-0.071   ";"-0.002   ";" 0.001   ";"-0.022   ";"-0.032   ";"-0.080*  ";"-0.009   ";" 0.017   ";" 0.018   ";"-0.080*  ";"-0.032   ";"-0.037   ";"-0.036   ";"-0.029   ";"-0.016   ";" 0.055   ";" 0.018   ";" 0.009   ";"-0.061   ";"-0.055   ";" 0.075*  ";" 0.014   ";"-0.019   ";"-0.004   ";" 0.038   ";"-0.061   ";"-0.044   ";"-0.044   ";" 0.043   ";" 0.117** ";" 0.020   ";" 0.008   ";" 0.061   ";"-0.008   ";" 0.013   ";" 0.047   ";" 0.104** ";" 0.214***";" 0.079*  ";"-0.038   ";"-0.177***";" 0.680***";" 0.709***";" 0.619***";" 0.720***";" 0.750***";" 0.668***";" 1.000   ";" 0.656***";" 0.108** ";" 0.763***";" 0.833***";"-0.496***";"-0.249***";"-0.288***";" 0.302***";"-0.242***"
"Guilt";" 0.057   ";"-0.055   ";"-0.116** ";"-0.024   ";"-0.075*  ";"-0.048   ";"-0.059   ";" 0.055   ";"-0.014   ";" 0.056   ";"-0.042   ";"-0.030   ";"-0.001   ";" 0.043   ";"-0.014   ";"-0.051   ";"-0.034   ";" 0.030   ";" 0.025   ";" 0.034   ";"-0.024   ";" 0.030   ";"-0.062   ";"-0.044   ";"-0.022   ";"-0.005   ";" 0.011   ";"-0.032   ";"-0.001   ";"-0.098** ";"-0.035   ";" 0.078*  ";"-0.055   ";" 0.032   ";"-0.030   ";" 0.070   ";"-0.098** ";"-0.082*  ";"-0.063   ";" 0.082*  ";" 0.119** ";" 0.061   ";"-0.023   ";" 0.036   ";"-0.011   ";"-0.013   ";" 0.060   ";"-0.006   ";" 0.135***";"-0.019   ";"-0.176***";"-0.403***";" 0.617***";" 0.893***";" 0.794***";" 0.757***";" 0.741***";" 0.858***";" 0.656***";" 1.000   ";"-0.081*  ";" 0.882***";" 0.933***";"-0.201***";"-0.263***";"-0.157***";" 0.144***";"-0.291***"
"PositiveIntegral";" 0.037   ";" 0.068   ";" 0.014   ";" 0.063   ";"-0.030   ";" 0.053   ";" 0.119** ";"-0.052   ";" 0.067   ";"-0.010   ";"-0.016   ";" 0.010   ";"-0.042   ";" 0.074*  ";" 0.087*  ";" 0.017   ";" 0.031   ";" 0.055   ";"-0.034   ";" 0.052   ";" 0.058   ";" 0.046   ";" 0.013   ";"-0.014   ";" 0.029   ";"-0.075*  ";"-0.057   ";"-0.014   ";"-0.086*  ";"-0.022   ";"-0.062   ";" 0.039   ";"-0.036   ";" 0.068   ";"-0.063   ";"-0.028   ";" 0.042   ";" 0.068   ";" 0.024   ";"-0.030   ";"-0.036   ";"-0.105** ";" 0.029   ";" 0.030   ";"-0.033   ";" 0.062   ";"-0.033   ";" 0.123***";"-0.143***";" 0.131***";" 0.861***";" 0.825***";" 0.346***";"-0.027   ";" 0.006   ";" 0.036   ";" 0.104** ";"-0.013   ";" 0.108** ";"-0.081*  ";" 1.000   ";" 0.023   ";" 0.004   ";"-0.140***";" 0.177***";" 0.008   ";" 0.296***";"-0.118** "
"NegativeIntegral";" 0.012   ";"-0.076*  ";"-0.104** ";"-0.045   ";"-0.053   ";"-0.022   ";"-0.058   ";"-0.005   ";"-0.042   ";" 0.110** ";"-0.051   ";"-0.070   ";" 0.030   ";" 0.009   ";"-0.044   ";"-0.049   ";"-0.066   ";"-0.001   ";" 0.002   ";" 0.002   ";"-0.062   ";" 0.012   ";"-0.058   ";"-0.041   ";"-0.016   ";"-0.045   ";" 0.021   ";" 0.015   ";"-0.008   ";"-0.087*  ";"-0.056   ";" 0.089*  ";"-0.020   ";" 0.004   ";"-0.023   ";" 0.074*  ";"-0.075*  ";"-0.080*  ";"-0.059   ";" 0.078*  ";" 0.144***";" 0.031   ";" 0.013   ";" 0.050   ";"-0.010   ";" 0.002   ";" 0.031   ";" 0.001   ";" 0.109** ";"-0.042   ";"-0.117** ";"-0.350***";" 0.757***";" 0.950***";" 0.894***";" 0.900***";" 0.894***";" 0.889***";" 0.763***";" 0.882***";" 0.023   ";" 1.000   ";" 0.925***";"-0.216***";"-0.319***";"-0.216***";" 0.201***";"-0.258***"
"AnxiousDepressive";" 0.048   ";"-0.064   ";"-0.100** ";"-0.020   ";"-0.070   ";"-0.030   ";"-0.036   ";" 0.014   ";"-0.009   ";" 0.084*  ";"-0.059   ";"-0.063   ";"-0.004   ";" 0.038   ";"-0.017   ";"-0.031   ";"-0.061   ";" 0.030   ";" 0.008   ";" 0.041   ";"-0.054   ";" 0.023   ";"-0.059   ";"-0.041   ";"-0.015   ";"-0.029   ";" 0.024   ";"-0.021   ";"-0.023   ";"-0.098** ";"-0.058   ";" 0.104** ";"-0.048   ";" 0.034   ";"-0.048   ";" 0.057   ";"-0.086*  ";"-0.062   ";"-0.046   ";" 0.077*  ";" 0.113** ";" 0.032   ";"-0.018   ";" 0.041   ";"-0.022   ";" 0.003   ";" 0.041   ";" 0.050   ";" 0.166***";"-0.004   ";"-0.128***";"-0.340***";" 0.724***";" 0.917***";" 0.813***";" 0.820***";" 0.808***";" 0.935***";" 0.833***";" 0.933***";" 0.004   ";" 0.925***";" 1.000   ";"-0.310***";"-0.234***";"-0.209***";" 0.199***";"-0.337***"
"Extraversion";" 0.029   ";"-0.014   ";" 0.073*  ";"-0.023   ";"-0.036   ";"-0.024   ";" 0.045   ";" 0.043   ";" 0.034   ";"-0.125***";" 0.130***";" 0.061   ";"-0.011   ";"-0.033   ";"-0.048   ";" 0.056   ";" 0.103** ";" 0.042   ";" 0.008   ";" 0.003   ";" 0.031   ";"-0.006   ";"-0.006   ";" 0.064   ";"-0.014   ";" 0.082*  ";"-0.008   ";"-0.002   ";"-0.007   ";" 0.051   ";" 0.117** ";"-0.086*  ";"-0.031   ";" 0.011   ";"-0.008   ";"-0.106** ";" 0.049   ";" 0.071   ";" 0.107** ";"-0.067   ";"-0.092*  ";" 0.040   ";"-0.096** ";"-0.113** ";" 0.012   ";"-0.032   ";"-0.114** ";"-0.113** ";"-0.052   ";"-0.063   ";"-0.165***";" 0.016   ";"-0.291***";"-0.203***";"-0.070   ";"-0.178***";"-0.386***";"-0.203***";"-0.496***";"-0.201***";"-0.140***";"-0.216***";"-0.310***";" 1.000   ";" 0.217***";" 0.564***";"-0.522***";" 0.372***"
"Agreeableness";" 0.041   ";" 0.054   ";" 0.053   ";" 0.024   ";"-0.069   ";"-0.076*  ";" 0.072*  ";" 0.049   ";" 0.065   ";"-0.105** ";" 0.084*  ";" 0.085*  ";"-0.085*  ";" 0.007   ";" 0.027   ";" 0.059   ";" 0.062   ";" 0.061   ";" 0.059   ";" 0.026   ";" 0.059   ";"-0.025   ";" 0.030   ";" 0.040   ";" 0.022   ";" 0.027   ";" 0.003   ";"-0.061   ";"-0.032   ";" 0.064   ";" 0.120** ";"-0.047   ";"-0.039   ";" 0.013   ";"-0.027   ";"-0.118** ";"-0.039   ";" 0.090*  ";" 0.047   ";"-0.059   ";"-0.055   ";" 0.053   ";"-0.079*  ";"-0.040   ";"-0.060   ";" 0.012   ";"-0.045   ";"-0.013   ";"-0.135***";"-0.131***";" 0.161***";" 0.230***";"-0.198***";"-0.260***";"-0.344***";"-0.266***";"-0.293***";"-0.194***";"-0.249***";"-0.263***";" 0.177***";"-0.319***";"-0.234***";" 0.217***";" 1.000   ";" 0.430***";"-0.087*  ";" 0.188***"
"Contiousness";"-0.010   ";" 0.003   ";" 0.153***";"-0.014   ";"-0.006   ";" 0.010   ";" 0.097** ";" 0.013   ";" 0.034   ";"-0.151***";" 0.147***";" 0.107** ";"-0.092*  ";"-0.062   ";"-0.021   ";" 0.138***";" 0.079*  ";" 0.011   ";" 0.051   ";"-0.012   ";" 0.034   ";"-0.091*  ";" 0.017   ";" 0.071   ";"-0.064   ";" 0.100** ";" 0.018   ";" 0.010   ";" 0.011   ";" 0.140***";" 0.161***";"-0.116** ";" 0.035   ";"-0.050   ";" 0.016   ";"-0.200***";" 0.072*  ";" 0.169***";" 0.205***";"-0.167***";"-0.152***";" 0.060   ";"-0.114** ";"-0.188***";" 0.042   ";"-0.043   ";"-0.046   ";"-0.112** ";"-0.110** ";" 0.120** ";" 0.066   ";" 0.174***";"-0.087*  ";"-0.244***";"-0.149***";"-0.122***";"-0.278***";"-0.155***";"-0.288***";"-0.157***";" 0.008   ";"-0.216***";"-0.209***";" 0.564***";" 0.430***";" 1.000   ";"-0.224***";" 0.434***"
"Neurotism";"-0.011   ";" 0.101** ";"-0.008   ";" 0.055   ";" 0.022   ";" 0.043   ";"-0.002   ";" 0.019   ";" 0.015   ";"-0.009   ";"-0.025   ";" 0.061   ";"-0.017   ";" 0.031   ";" 0.092*  ";"-0.028   ";"-0.076*  ";"-0.016   ";" 0.090*  ";"-0.026   ";" 0.111** ";"-0.031   ";" 0.050   ";" 0.014   ";" 0.093*  ";" 0.014   ";"-0.038   ";" 0.002   ";" 0.018   ";" 0.048   ";"-0.028   ";" 0.025   ";" 0.010   ";" 0.007   ";" 0.011   ";" 0.046   ";"-0.025   ";" 0.013   ";"-0.004   ";"-0.030   ";"-0.004   ";" 0.046   ";" 0.061   ";"-0.000   ";"-0.019   ";" 0.044   ";" 0.101** ";"-0.026   ";"-0.154***";" 0.406***";" 0.355***";" 0.214***";" 0.170***";" 0.262***";" 0.095** ";" 0.141***";" 0.236***";" 0.185***";" 0.302***";" 0.144***";" 0.296***";" 0.201***";" 0.199***";"-0.522***";"-0.087*  ";"-0.224***";" 1.000   ";"-0.224***"
"Openness";" 0.025   ";" 0.089*  ";" 0.011   ";" 0.056   ";"-0.015   ";"-0.036   ";" 0.038   ";" 0.022   ";" 0.060   ";"-0.043   ";" 0.116** ";" 0.092*  ";" 0.027   ";" 0.014   ";" 0.020   ";"-0.037   ";" 0.018   ";" 0.070   ";"-0.010   ";" 0.012   ";" 0.131***";" 0.043   ";" 0.027   ";" 0.041   ";" 0.070   ";" 0.055   ";"-0.002   ";"-0.078*  ";"-0.079*  ";" 0.012   ";" 0.002   ";" 0.004   ";"-0.082*  ";" 0.079*  ";"-0.068   ";"-0.000   ";"-0.044   ";" 0.050   ";" 0.019   ";"-0.011   ";"-0.089*  ";" 0.054   ";"-0.036   ";"-0.042   ";"-0.111** ";" 0.046   ";" 0.019   ";"-0.143***";" 0.231***";" 0.129***";"-0.125***";"-0.045   ";"-0.223***";"-0.355***";"-0.224***";"-0.116** ";"-0.234***";"-0.353***";"-0.242***";"-0.291***";"-0.118** ";"-0.258***";"-0.337***";" 0.372***";" 0.188***";" 0.434***";"-0.224***";" 1.000   "
